,trading_day_end_time_eod
GBPUSD10R1W BGN Curncy,22:59:59
GBPUSD10B1W BGN Curncy,22:59:59
GBPUSD25R1W BGN Curncy,22:59:59
GBPUSD25B1W BGN Curncy,22:59:59
GBPUSDV1M BGN Curncy,22:59:59
GBPUSD10R1M BGN Curncy,22:59:59
GBPUSD10B1M BGN Curncy,22:59:59
GBPUSD25R1M BGN Curncy,22:59:59
GBPUSD25B1M BGN Curncy,22:59:59
GBPUSDV3M BGN Curncy,22:59:59
GBPUSD10R3M BGN Curncy,22:59:59
GBPUSD10B3M BGN Curncy,22:59:59
GBPUSD25R3M BGN Curncy,22:59:59
GBPUSD25B3M BGN Curncy,22:59:59
GBPUSDV6M BGN Curncy,22:59:59
GBPUSD10R6M BGN Curncy,22:59:59
GBPUSD10B6M BGN Curncy,22:59:59
GBPUSD25R6M BGN Curncy,22:59:59
GBPUSD25B6M BGN Curncy,22:59:59
GBPUSDV1Y BGN Curncy,22:59:59
GBPUSD10R1Y BGN Curncy,22:59:59
GBPUSD10B1Y BGN Curncy,22:59:59
GBPUSD25R1Y BGN Curncy,22:59:59
GBPUSD25B1Y BGN Curncy,22:59:59
NZDJPYV1W BGN Curncy,22:59:59
NZDJPY10R1W BGN Curncy,22:59:59
NZDJPY10B1W BGN Curncy,22:59:59
NZDJPY25R1W BGN Curncy,22:59:59
NZDJPY25B1W BGN Curncy,22:59:59
NZDJPYV1M BGN Curncy,22:59:59
NZDJPY10R1M BGN Curncy,22:59:59
NZDJPY10B1M BGN Curncy,22:59:59
NZDJPY25R1M BGN Curncy,22:59:59
NZDJPY25B1M BGN Curncy,22:59:59
NZDJPYV3M BGN Curncy,22:59:59
NZDJPY10R3M BGN Curncy,22:59:59
NZDJPY10B3M BGN Curncy,22:59:59
NZDJPY25R3M BGN Curncy,22:59:59
NZDJPY25B3M BGN Curncy,22:59:59
NZDJPYV6M BGN Curncy,22:59:59
NZDJPY10R6M BGN Curncy,22:59:59
NZDJPY10B6M BGN Curncy,22:59:59
NZDJPY25R6M BGN Curncy,22:59:59
NZDJPY25B6M BGN Curncy,22:59:59
NZDJPYV1Y BGN Curncy,22:59:59
NZDJPY10R1Y BGN Curncy,22:59:59
NZDJPY10B1Y BGN Curncy,22:59:59
NZDJPY25R1Y BGN Curncy,22:59:59
NZDJPY25B1Y BGN Curncy,22:59:59
NZDUSDV1W BGN Curncy,22:59:59
NZDUSD10R1W BGN Curncy,22:59:59
NZDUSD10B1W BGN Curncy,22:59:59
NZDUSD25R1W BGN Curncy,22:59:59
NZDUSD25B1W BGN Curncy,22:59:59
NZDUSDV1M BGN Curncy,22:59:59
NZDUSD10R1M BGN Curncy,22:59:59
NZDUSD10B1M BGN Curncy,22:59:59
NZDUSD25R1M BGN Curncy,22:59:59
NZDUSD25B1M BGN Curncy,22:59:59
NZDUSDV3M BGN Curncy,22:59:59
NZDUSD10R3M BGN Curncy,22:59:59
NZDUSD10B3M BGN Curncy,22:59:59
NZDUSD25R3M BGN Curncy,22:59:59
NZDUSD25B3M BGN Curncy,22:59:59
NZDUSDV6M BGN Curncy,22:59:59
NZDUSD10R6M BGN Curncy,22:59:59
NZDUSD10B6M BGN Curncy,22:59:59
NZDUSD25R6M BGN Curncy,22:59:59
NZDUSD25B6M BGN Curncy,22:59:59
NZDUSDV1Y BGN Curncy,22:59:59
NZDUSD10R1Y BGN Curncy,22:59:59
NZDUSD10B1Y BGN Curncy,22:59:59
NZDUSD25R1Y BGN Curncy,22:59:59
NZDUSD25B1Y BGN Curncy,22:59:59
USDCADV1W BGN Curncy,22:59:59
USDCAD10R1W BGN Curncy,22:59:59
USDCAD10B1W BGN Curncy,22:59:59
USDCAD25R1W BGN Curncy,22:59:59
USDCAD25B1W BGN Curncy,22:59:59
USDCADV1M BGN Curncy,22:59:59
USDCAD10R1M BGN Curncy,22:59:59
USDCAD10B1M BGN Curncy,22:59:59
USDCAD25R1M BGN Curncy,22:59:59
USDCAD25B1M BGN Curncy,22:59:59
USDCADV3M BGN Curncy,22:59:59
USDCAD10R3M BGN Curncy,22:59:59
USDCAD10B3M BGN Curncy,22:59:59
USDCAD25R3M BGN Curncy,22:59:59
USDCAD25B3M BGN Curncy,22:59:59
USDCADV6M BGN Curncy,22:59:59
USDCAD10R6M BGN Curncy,22:59:59
USDCAD10B6M BGN Curncy,22:59:59
USDCAD25R6M BGN Curncy,22:59:59
USDCAD25B6M BGN Curncy,22:59:59
USDCADV1Y BGN Curncy,22:59:59
USDCAD10R1Y BGN Curncy,22:59:59
USDCAD10B1Y BGN Curncy,22:59:59
USDCAD25R1Y BGN Curncy,22:59:59
USDCAD25B1Y BGN Curncy,22:59:59
USDCHFV1W BGN Curncy,22:59:59
USDCHF10R1W BGN Curncy,22:59:59
USDCHF10B1W BGN Curncy,22:59:59
USDCHF25R1W BGN Curncy,22:59:59
USDCHF25B1W BGN Curncy,22:59:59
USDCHFV1M BGN Curncy,22:59:59
USDCHF10R1M BGN Curncy,22:59:59
USDCHF10B1M BGN Curncy,22:59:59
USDCHF25R1M BGN Curncy,22:59:59
USDCHF25B1M BGN Curncy,22:59:59
USDCHFV3M BGN Curncy,22:59:59
USDCHF10R3M BGN Curncy,22:59:59
USDCHF10B3M BGN Curncy,22:59:59
USDCHF25R3M BGN Curncy,22:59:59
USDCHF25B3M BGN Curncy,22:59:59
USDCHFV6M BGN Curncy,22:59:59
USDCHF10R6M BGN Curncy,22:59:59
USDCHF10B6M BGN Curncy,22:59:59
USDCHF25R6M BGN Curncy,22:59:59
USDCHF25B6M BGN Curncy,22:59:59
USDCHFV1Y BGN Curncy,22:59:59
USDCHF10R1Y BGN Curncy,22:59:59
USDCHF10B1Y BGN Curncy,22:59:59
USDCHF25R1Y BGN Curncy,22:59:59
USDCHF25B1Y BGN Curncy,22:59:59
USDJPYV1W BGN Curncy,22:59:59
USDJPY10R1W BGN Curncy,22:59:59
USDJPY10B1W BGN Curncy,22:59:59
USDJPY25R1W BGN Curncy,22:59:59
USDJPY25B1W BGN Curncy,22:59:59
USDJPYV1M BGN Curncy,22:59:59
USDJPY10R1M BGN Curncy,22:59:59
USDJPY10B1M BGN Curncy,22:59:59
USDJPY25R1M BGN Curncy,22:59:59
USDJPY25B1M BGN Curncy,22:59:59
USDJPYV3M BGN Curncy,22:59:59
USDJPY10R3M BGN Curncy,22:59:59
USDJPY10B3M BGN Curncy,22:59:59
USDJPY25R3M BGN Curncy,22:59:59
USDJPY25B3M BGN Curncy,22:59:59
USDJPYV6M BGN Curncy,22:59:59
USDJPY10R6M BGN Curncy,22:59:59
USDJPY10B6M BGN Curncy,22:59:59
USDJPY25R6M BGN Curncy,22:59:59
USDJPY25B6M BGN Curncy,22:59:59
USDJPYV1Y BGN Curncy,22:59:59
USDJPY10R1Y BGN Curncy,22:59:59
USDJPY10B1Y BGN Curncy,22:59:59
USDJPY25R1Y BGN Curncy,22:59:59
USDJPY25B1Y BGN Curncy,22:59:59
